Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5NbItAVsr9a5Dx7KxwY4Xn,"Brothers of the Ring","Shire Sleep","Celestial Aeon Project,Enchanted Realms Orchestra,Everrune",2024-05-17,93147,49,1136646439,2024-05-16T22:34:06Z,"medieval,celta","Ouranio Recordings",0.0831,0.164,2,-19.191,1,0.0399,0.915,0.94,0.119,0.118,169.315,1
6RSJQuahRMWJgSDgcUEH5H,"Misty Mountains (From The Hobbit: An Unexpected Journey)","Misty Mountains (From The Hobbit: An Unexpected Journey)","Somnia Arcadia",2023-10-20,91284,48,1136646439,2024-05-16T22:36:05Z,"","Everrealm Records",0.512,0.0747,5,-22.473,1,0.0373,0.992,0.953,0.131,0.265,110.041,4
3JR7YEsVicszdqzfiL2x5V,"Song of the Lakes","Voices of the Grove","Moonlynx",2024-09-15,74304,0,1136646439,2024-09-16T12:52:01Z,"","Everrealm Records",0.0813,0.114,2,-28.497,0,0.042,0.877,0.991,0.112,0.0345,171.701,3
4t2kUsa1KJHRkDdwdFXdtJ,"Minas Tirith (From The Lord of the Rings)","Minas Tirith (From The Lord of the Rings)","Valkyrion,Everrune",2024-11-03,111000,40,1136646439,2024-11-04T14:06:53Z,"medieval,dark ambient","Everrealm Records",0.22,0.0957,2,-20.131,0,0.0372,0.969,0.903,0.171,0.0552,68.104,4
1tO31hjVZ0Vso4t7huQyTE,"Evenstar (From The Lord of the Rings: The Two Towers)","Dreams of Middle Earth","Somnia Arcadia,Harp of the Elvenwood,Stillness in Motion",2024-07-05,95926,47,1136646439,2024-07-04T21:08:54Z,"medieval","Everrealm Records",0.148,0.113,4,-19.949,0,0.0382,0.972,0.899,0.108,0.0602,84.618,4
2wYX2nSsBcPPnkKCJ69Amo,"Elanor (feat. Sir James Galway)","The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition)","Howard Shore",2003-11-24,87866,50,1136646439,2024-05-16T22:41:25Z,"banda sonora","Reprise",0.118,0.0942,2,-22.343,1,0.0511,0.917,0.549,0.115,0.0384,77.051,1
1g5kAbA7lxNv5pcRMSnKEV,"Call of the Mountain","Ironcliff Haven","Everrune,Scorewizard",2024-07-19,95285,43,1136646439,2024-09-24T02:22:54Z,"medieval,dark ambient","Everrealm Records",0.226,0.129,0,-23.211,1,0.0405,0.317,0.926,0.109,0.172,110.25,3
0I7csiaqzvlcYkp7B3bW3K,"Celtic Dream","Fantasy Harp Atmospheres","Harp of the Elvenwood",2023-12-08,91305,44,1136646439,2024-09-20T16:38:31Z,"medieval","Everrealm Records",0.622,0.0394,2,-25.241,0,0.0386,0.99,0.912,0.125,0.28,70.075,3
4FsxDLYHL6fe8RGbIrMbwS,"Hope of Rohan (From The Lord of the Rings)","Hope of Rohan (From The Lord of the Rings)","Valkyrion",2024-11-02,78846,40,1136646439,2024-11-02T08:46:55Z,"medieval,dark ambient","Everrealm Records",0.156,0.133,4,-19.156,0,0.0388,0.979,0.925,0.111,0.0527,35.487,4
7Dcqg63R9aHaPtfs9O213B,"Dreaming of Bag End (From The Hobbit)","Dreaming of Bag End (From The Hobbit)","Scorewizard",2024-09-25,98887,43,1136646439,2024-09-25T12:42:29Z,"medieval,dark ambient","Scorewizard",0.373,0.115,2,-19.822,1,0.0338,0.984,0.888,0.0885,0.134,99.888,4
7GcwO4ih9uhN92mKj8qmzQ,"Many Meetings (From The Lord of the Rings: The Fellowship of the Ring)","Dreams of Middle Earth","Somnia Arcadia,Harp of the Elvenwood,Stillness in Motion",2024-07-05,116925,46,1136646439,2024-07-04T21:08:54Z,"medieval","Everrealm Records",0.135,0.189,0,-15.726,1,0.0379,0.937,0.969,0.106,0.0684,143.397,4
4FehrhO6UJ2ltvhizWhltO,"Joy of the Trees","Voices of the Grove","Moonlynx",2024-09-15,126141,0,1136646439,2024-09-16T12:52:01Z,"","Everrealm Records",0.254,0.0965,2,-22.864,0,0.0367,0.969,0.971,0.121,0.0482,74.015,1
1WqFmyXBJF9XwodR6IofW5,"Rohan Theme (From The Lord of the Rings: The Two Towers)","Dreams of Middle Earth","Somnia Arcadia,Harp of the Elvenwood,Stillness in Motion",2024-07-05,83384,45,1136646439,2024-07-04T21:08:54Z,"medieval","Everrealm Records",0.31,0.158,2,-19.53,0,0.0356,0.884,0.965,0.0936,0.164,58.855,4
5K2GdwAc8Ga9z99NotmkC4,"May It Be (From The Lord of the Rings: The Fellowship of the Ring)","Dreams of Middle Earth","Somnia Arcadia,Harp of the Elvenwood,Stillness in Motion",2024-07-05,98567,45,1136646439,2024-07-04T21:08:54Z,"medieval","Everrealm Records",0.294,0.209,9,-17.034,1,0.0343,0.941,0.948,0.109,0.336,75.156,5
484z700pVPhMto0q8vn3NG,"I See Fire (From The Hobbit: The Desolation of Smaug)","The Lord of the Rings Reimagined","Celestial Aeon Project",2022-02-11,118333,39,1136646439,2024-10-12T13:33:15Z,"medieval,celta","Ouranio Recordings",0.313,0.0605,1,-23.445,1,0.0294,0.871,0.95,0.109,0.0624,95.455,5
3extqqh2jYt3bT5PS4DqG1,"Moonlight Over Middle-earth","Celestial Night","Somnia Arcadia,Stillness in Motion",2025-03-30,76408,20,1136646439,2025-03-30T01:05:06Z,"","Everrealm Records",0.138,0.0844,0,-23.471,0,0.0342,0.766,0.907,0.119,0.0396,69.008,4
5Knu8jl1KXlIYAm5BWmAMJ,"Whisperwood","Fantasy Dreams","Harp of the Elvenwood",2024-03-10,84000,46,1136646439,2024-05-16T22:41:53Z,"medieval","Everrealm Records",0.461,0.0472,0,-25.81,0,0.0344,0.923,0.912,0.0998,0.17,139.833,4
4hPFuA3y7EA4hdmnSNuK5A,"The Chalice Passed","The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition)","Howard Shore",2003-11-24,110733,46,1136646439,2024-05-16T22:54:43Z,"banda sonora","Reprise",0.248,0.01,0,-32.183,1,0.0367,0.842,0.97,0.148,0.0374,77.047,4
7doy0giMr5P25b8lzZIgw0,"Night Sky Echoes","Celestial Night","Somnia Arcadia,Stillness in Motion",2025-03-30,58943,23,1136646439,2025-03-30T01:05:06Z,"","Everrealm Records",0.269,0.217,2,-17.589,0,0.032,0.857,0.838,0.124,0.0511,139.722,3
5lP8Txv4jxEKRUDbSE5QWH,"Finrodan","Shire Sleep","Celestial Aeon Project,Enchanted Realms Orchestra,Everrune",2024-05-17,93305,44,1136646439,2024-05-16T22:34:06Z,"medieval,celta","Ouranio Recordings",0.149,0.0904,7,-20.818,1,0.0392,0.904,0.984,0.0925,0.0494,60.949,4
