Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qId7Rt7QSsXQqQ5KDdRHf,"Pure","Faraway","Jia Peng Fang",2002-10-01,140866,43,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:18:07Z,"música tradicional,gufeng","Pacific Moon",0.277,0.279,4,-8.272,0,0.0329,0.883,0.481,0.105,0.0773,71.098,3
3rnA3gPOJsLGdXZW8lSisb,"Jin Sakai","Ghost of Tsushima (Music from the Video Game)","Ilan Eshkeri",2020-07-17,171840,46,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:18:41Z,"banda sonora","Masterworks",0.428,0.442,7,-14.255,0,0.0421,0.398,0.856,0.112,0.135,83.995,4
6MhQ3C00sl72D0N3vS3ZOt,"Moonlight","Breathing Spaces","Jiang Xiao-Qing",2002-04-02,234333,44,dwnqcz9j6flzux88m2by49d4d,2023-04-08T22:27:36Z,"música tradicional","Pacific Moon",0.557,0.166,4,-18.556,0,0.0489,0.949,0.715,0.377,0.109,136.449,4
7a1zxvlYZWj51Yxg3ddK6a,"Waiting - From The Banquet Original Soundtrack","Dreams Of China","Tan Dun,Lang Lang,Shanghai Symphony Orchestra,Gao Jian",2008-01-01,125973,30,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:19:02Z,"piano clásico,clásica","Deutsche Grammophon (DG)",0.194,0.0331,9,-28.416,1,0.0321,0.978,0.972,0.0971,0.0806,93.271,5
7yCx4bOy4pSoQBsm03CwQu,"Chinese Shop","Lotus Blossoms","Derek Fiechter,Brandon Fiechter",2018-04-07,215265,42,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:19:10Z,"medieval,celta","Derek Fiechter & Brandon Fiechter",0.39,0.115,3,-17.916,0,0.0379,0.868,0.892,0.109,0.156,77.022,4
4szbKg9d43GewBB2Nv3CcP,"Ancestral Tradition","Traditions d' Asie : Chine","Jaya Satria",2010-12-01,186480,42,dwnqcz9j6flzux88m2by49d4d,2023-04-08T22:27:40Z,"música tradicional","Origins Zen Media",0.478,0.167,11,-17.79,0,0.0366,0.957,0.846,0.105,0.347,87.341,4
32fpjFWqEoEhGh4bN8iCD7,"My Long Way Home","Lament In The River Mansion","Zhou Yu",1998-01-01,361000,35,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:19:33Z,"música tradicional","China Record Corporation",0.31,0.0465,7,-20.265,1,0.0452,0.974,0.939,0.0937,0.196,86.829,4
3lH9wUXOyASljAFm1ZUmaZ,"Night of Beijing","Rainbow","Jia Peng Fang",2000-10-17,250400,40,dwnqcz9j6flzux88m2by49d4d,2022-05-09T02:19:50Z,"música tradicional,gufeng","Pacific Moon",0.321,0.381,4,-8.657,0,0.0299,0.489,0.00358,0.0932,0.256,110.731,3
7vZCViayCZr9sDFJbg5xh5,"Wild Rose","Orchid","Shao Rong",2001-01-09,279760,38,dwnqcz9j6flzux88m2by49d4d,2023-04-08T22:27:43Z,"música tradicional","Pacific Moon",0.574,0.316,7,-11.43,1,0.0317,0.706,0.094,0.132,0.197,116.015,3
7Ht9Os46anmwP3zhZcZfbJ,"Winter Sky","Breathing Spaces","Jiang Xiao-Qing",2002-04-02,329693,36,dwnqcz9j6flzux88m2by49d4d,2023-04-08T22:27:53Z,"música tradicional","Pacific Moon",0.51,0.262,5,-13.541,1,0.032,0.884,0.9,0.222,0.0867,139.836,4
