Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ZLzoOkj0MPWrTLvooIuaa,"Get You The Moon (feat. Snøw)","Get You The Moon (feat. Snøw)","Kina,Snøw",2018-10-08,179080,69,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:13:20Z,"","Columbia",0.498,0.235,1,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,4
7cPQWcczApOEcmeFwUG9xj,"U’re Mine","U’re Mine","Kina",2018-03-03,138026,54,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:13:35Z,"","Create Capital",0.616,0.134,8,-20.004,1,0.0366,0.753,0.891,0.0954,0.26,100.153,4
1sSWeebrHxMLdixWRgs778,"a way out","a way out","my head is empty,Miranda Rain",2023-05-26,135418,64,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:14:13Z,"dark ambient,ambient","my head is empty x Miranda Rain",0.138,0.0372,4,-31.301,0,0.0349,0.958,0.928,0.111,0.0945,142.242,3
0TFjRKziQOXfmkjTB20tmV,"you not the same - slowed down version","you not the same (slowed down version)","TileKid",2021-04-02,159808,61,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:14:23Z,"dark ambient","tilekid",0.113,0.0394,4,-34.768,0,0.0462,0.97,0.886,0.0849,0.0362,71.373,5
6h6runZeeczWEuEW2pFvYW,"New Home (Slowed)","New Home (Slowed)","Austin Farwell",2021-05-26,174521,65,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:14:29Z,"","Austin Farwell",0.356,0.00558,11,-27.72,1,0.0417,0.99,0.934,0.0991,0.122,70.012,4
43zdsphuZLzwA9k4DJhU0I,"when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,196077,80,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:16:22Z,"","Darkroom/Interscope Records",0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
2GvWK1w9SpqNda6q2l1k31,"take a moment to breathe.","take a moment to breathe.","normal the kid",2021-10-22,218181,56,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:16:59Z,"","normal the kid",0.377,0.0682,8,-19.288,0,0.0348,0.983,0.0673,0.112,0.0955,109.942,4
6tIoXcKI2qpMsXCdFP3Gi0,"Girl of My Dreams","Girl of My Dreams","Guti",2019-12-14,222981,66,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:17:32Z,"","The System",0.573,0.329,10,-16.113,1,0.0375,0.779,0.369,0.0869,0.0533,138.724,4
4CiqKccFFYGmFPz7HVTjfW,"Euphor","Heiress","Novo Amor,Lowswimmer",2017-11-10,243466,63,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:17:58Z,"","AllPoints",0.296,0.284,10,-14.01,0,0.033,0.968,0.189,0.0961,0.0917,114.786,4
0bndF6tTweNXPjwpPL7Slt,"Haven (from Life Is Strange)","Haven (from Life Is Strange)","Novo Amor",2021-03-18,172500,59,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:18:29Z,"","AllPoints",0.556,0.261,4,-11.668,1,0.0289,0.797,0.016,0.0893,0.219,110.841,4
4IhTXiZLKATmwhMZIb1GQN,"Lights Are On","Z-Sides","Tom Rosenthal",2018-10-26,193749,73,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:18:51Z,"","Tinpot Records",0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4
6Q5uDNuuFYa8ToL3CCoHPC,"Poison Tree","Inca Ore / Grouper","Grouper",2008-06-03,196893,71,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:19:00Z,"drone,slowcore,ambient,dream pop","Yellowelectric",0.224,0.139,11,-22.587,1,0.0354,0.961,0.913,0.108,0.213,111.316,4
6mSnSuOhgHHohqeBw76jRV,"i was all over her","melanchole","salvia palth",2013-05-06,161422,77,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:19:32Z,"slowcore","Searching Transmissions",0.537,0.366,7,-12.774,1,0.0303,0.775,0.883,0.113,0.0538,104.572,4
1XZPtZVqcOzzxbYIR7MjQw,"Ontario","Heiress","Novo Amor,Lowswimmer",2017-11-10,192866,63,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:19:48Z,"","AllPoints",0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,4
44A0o4jA8F2ZF03Zacwlwx,"Je te laisserai des mots","Je te laisserai des mots","Patrick Watson",2010-09-10,160853,78,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:20:53Z,"","Secret City Records",0.303,0.187,2,-16.757,1,0.0356,0.989,0.499,0.102,0.212,132.679,4
1ZVbf755wkzFApNhrGNek3,"Berlin","Dawn","RY X",2016-05-06,174172,59,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:25:19Z,"indie folk","Infectious Music",0.397,0.0666,7,-20.405,1,0.0383,0.963,0.158,0.107,0.0389,137.313,4
77fXh1KRzFqxqNwPmQPD0V,"Only","Only","RY X",2016-03-04,268455,25,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:25:28Z,"indie folk","Infectious Music",0.293,0.175,7,-15.543,0,0.0308,0.903,0.528,0.109,0.089,83.182,3
1ndcdaJ6B1esaFfolyfwxx,"overthinking - Demo","overthinking (Demo)","daniel.mp3",2022-03-18,130575,57,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:25:43Z,"dark ambient","daniel.mp3",0.398,0.0184,1,-33.83,1,0.0479,0.993,0.926,0.0961,0.0507,116.042,5
2mKNR1pWgiHKP4ufbE8Tmt,"i am here","time to time","james king",2022-04-01,97437,11,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:25:50Z,"dark ambient","The System",0.215,0.1,10,-24.671,0,0.0316,0.921,0.955,0.0945,0.273,99.452,4
4eEfckO9ZJlMntQJFEjxq6,"interstellar.","daydream.","pandora.,chillwithme,cødy",2023-03-06,97883,63,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:25:54Z,"ambient,dark ambient","Union Entertainment",0.308,0.079,2,-29.929,1,0.11,0.946,0.947,0.0954,0.113,70.643,4
4zzxSXdXK4gLEOyGpPpb9v,"green to blue","Backroom","daniel.mp3",2022-06-29,189515,63,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:26:28Z,"dark ambient","daniel.mp3. Distributed exclusively by Amuseio AB",0.33,0.0275,2,-30.651,1,0.0434,0.979,0.928,0.0868,0.0641,138.099,4
3MRsE4kOIhk4FNTTwu3X6w,"wistful","wistful","Øneheart,james king",2022-09-30,157183,50,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:26:32Z,"dark ambient","Øneheart x james king",0.274,0.143,10,-23.204,0,0.0306,0.822,0.894,0.573,0.0586,88.751,4
321PCApeQiLLrf03k83cCb,"watching the stars","watching the stars","Øneheart",2022-08-05,99146,66,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:26:37Z,"dark ambient","Øneheart",0.448,0.105,4,-26.191,0,0.0306,0.943,0.929,0.085,0.0483,82.088,4
7MJ8g0egEkhvGu44IamrDE,"Idea 15","Idea 15","Gibran Alcocer",2023-08-18,114000,67,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:26:46Z,"","Gibran Alcocer",0.299,0.184,1,-22.955,0,0.0378,0.983,0.861,0.11,0.274,179.173,3
1FCsK0oKWCtDOYRPYSrYgO,"Idea 22","Idea 22","Gibran Alcocer",2022-12-16,152000,50,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:26:51Z,"","The System",0.328,0.0704,0,-20.147,0,0.0319,0.986,0.946,0.108,0.15,51.696,4
4VkRQSpG16JxrXaVlNyWdX,"memories","memories","leadwave",2022-09-23,86319,66,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:27:00Z,"dark ambient","leadwave",0.252,0.0823,5,-27.338,1,0.0344,0.951,0.928,0.0857,0.0381,67.238,4
5lm18pjbwdth6ENVllxjfl,"Ballerina","Preludes, Book 1 - Streams","Yehezkel Raz",2019-12-10,71581,68,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:27:12Z,"","Artlist Original",0.376,0.0207,3,-35.713,1,0.0678,0.993,0.954,0.0938,0.429,75.607,1
32xjgqHt76Q8sipEop3Bci,"drowning","drowning","Vague003",2022-12-09,117341,60,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:27:21Z,"","Vague003",0.553,0.613,11,-7.956,0,0.0694,0.0201,0.854,0.111,0.0506,180.02,4
4txrAyGAWA9JqZzoNHiPRh,"you not the same","you not the same","TileKid",2021-03-05,128798,66,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:27:35Z,"dark ambient","tilekid",0.102,0.0272,9,-31.537,0,0.0444,0.972,0.856,0.0755,0.116,66.714,4
4xF4ZBGPZKxECeDFrqSAG4,"snowfall","snowfall","Øneheart,reidenshi",2022-01-14,124065,78,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:28:01Z,"dark ambient","Øneheart & reidenshi",0.466,0.0918,10,-26.813,1,0.0269,0.929,0.803,0.439,0.0841,95.014,4
3hRV0jL3vUpRrcy398teAU,"The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,84,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:33:24Z,"","Play It Again Sam",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
7C0E4O90O9vrD3EkvIgonY,"Moonlight Sonata (No.14 in C-Sharp Minor Op.27 No.2 I. Adagio Sostenuto)","Moonlight Sonata (No.14 in C-Sharp Minor Op.27 No.2 I. Adagio Sostenuto)","Ludwig van Beethoven,Mila Levistre",2022-02-18,330413,38,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:36:36Z,"classical,classical piano,chamber music","Den Haku Classical",0.229,0.00713,1,-28.895,0,0.0501,0.996,0.896,0.185,0.31,76.567,3
73fZnvwSUlWwt9LLRkknzs,"Waltz","Transitions III","Fabrizio Paterlini",2020-06-05,64788,61,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:38:32Z,"neoclassical","Memory Recordings",0.27,0.0516,8,-33.766,0,0.0442,0.986,0.953,0.112,0.199,87.587,4
3TdROUy5JZz1OcBKMZjeux,"Idea 9","Idea 9","Gibran Alcocer",2023-05-26,137547,66,31k3j5jw2xmpz2wzq6ozhwaca57u,2025-01-13T19:39:40Z,"","Gibran Alcocer",0.34,0.138,2,-24.95,0,0.0357,0.984,0.846,0.112,0.325,128.563,4
